
Co./Last Name							Invoice No.	Date				Item Number	Quantity	Description																																		Record ID
St Chad's College Durham							F53117684	02/05/2026				LIB	1	Lettuce - Iceberg																																		CH3
St Chad's College Durham							F53117684	02/05/2026				CS5	4	Carrots - Sliced																																		CH3
St Chad's College Durham							F53117684	02/05/2026				BRB	4	Broccoli																																		CH3
St Chad's College Durham							F53117684	02/05/2026				CG2	2	Carrots Grated																																		CH3
St Chad's College Durham							F53117684	02/05/2026				CM2	2	Coleslaw - Mix																																		CH3

Mr B's Bakery							F52860683	02/05/2026				RCL	6	Chips - Raw Chunky																																		MR2

The Green Tree Spennymoor							F53161469	02/05/2026				SD5	3	Swedes - Diced																																		GR3
The Green Tree Spennymoor							F53161469	02/05/2026				RCL	3	Chips - Raw Chunky																																		GR3
The Green Tree Spennymoor							F53161469	02/05/2026				P10	4	Potatoes - Peeled Standard (blue bag)																																		GR3

D&A diner							F52888106	02/05/2026				E	1	Eggs																																		DA5
D&A diner							F52888106	02/05/2026				CB5	1	Carrots - Batons																																		DA5
D&A diner							F52888106	02/05/2026				SD5	1	Swedes - Diced																																		DA5
D&A diner							F52888106	02/05/2026				CGS2	1	Cabbage - Green (Shredded) Vac Pac																																		DA5

Haswell Homer Hill Farm Shop Ltd							F53162844	02/05/2026				P10L	6	Potatoes - Peeled Large																																		HA6

All Saints Community Centre							F53159837	02/05/2026				T7	1	Apples - Solid Pack																																		AL2
All Saints Community Centre							F53159837	02/05/2026				PQ10	2	Potatoes - Cut (Roast)																																		AL2
All Saints Community Centre							F53159837	02/05/2026				CS5	1	Carrots - Sliced																																		AL2
All Saints Community Centre							F53159837	02/05/2026				CS2	1	Carrots - Sliced																																		AL2
All Saints Community Centre							F53159837	02/05/2026				SD2	1	Swedes - Diced																																		AL2
All Saints Community Centre							F53159837	02/05/2026				SD5	1	Swedes - Diced																																		AL2
All Saints Community Centre							F53159837	02/05/2026				PAQ2	1	Parsnips - Quartered Prepared																																		AL2
All Saints Community Centre							F53159837	02/05/2026				T11S	2	Peas - Mushy																																		AL2
All Saints Community Centre							F53159837	02/05/2026				CB1	1	Cling Film																																		AL2
All Saints Community Centre							F53159837	02/05/2026				CGS	2	Cabbage - Green (Shredded) **NOT Vac Pac**																																		AL2

University Hospital of North Durham (R)							F53153599	02/05/2026				AG	12	Apples - Golden																																		UN3
University Hospital of North Durham (R)							F53153599	02/05/2026				AR	12	Apples - Red																																		UN3
University Hospital of North Durham (R)							F53153599	02/05/2026				BK	6	Bananas																																		UN3
University Hospital of North Durham (R)							F53153599	02/05/2026				CG2	2	Carrots Grated																																		UN3
